cultivo,lluvia,inundacion,granizada,sequia,vientos,incendio,deslizamiento_tierra,plagas,quimicos,mano_obra,maquinaria,comercializacion,precios_bajos,luz,agua
44235,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
44236,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
44237,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
44238,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44239,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44240,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
44241,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
44242,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
44243,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
44244,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
44245,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
44246,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
44247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
