cultivo,lluvia,inundacion,granizada,sequia,vientos,incendio,deslizamiento_tierra,plagas,quimicos,mano_obra,maquinaria,comercializacion,precios_bajos,luz,agua
33235,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
33238,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
33239,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33240,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
33241,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33242,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
33243,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33245,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33246,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
33247,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33248,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
33249,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
33250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33252,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
33253,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33255,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
