cultivo,lluvia,inundacion,granizada,sequia,vientos,incendio,deslizamiento_tierra,plagas,quimicos,mano_obra,maquinaria,comercializacion,precios_bajos,luz,agua
22235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22236,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22237,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22239,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
22240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22242,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
22243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22245,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
22246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22247,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22248,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
